source_category_name,source_category_id,category_code,parent_source_category_id,parent_category_name,category_name,category_level,category_type,sort_no,yn,source
有声小说,1,LR_CAT_1,,,有声小说,1,audiobook,1,1,lrts
相声评书,3,LR_CAT_3,,,相声评书,1,audiobook,2,1,lrts
戏曲曲艺,4,LR_CAT_4,,,戏曲曲艺,1,audiobook,3,1,lrts
文学,78,LR_CAT_78,,,文学,1,audiobook,4,1,lrts
幼儿教育,6,LR_CAT_6,,,幼儿教育,1,audiobook,5,1,lrts
红色足迹,9070,LR_CAT_9070,,,红色足迹,1,audiobook,6,1,lrts
娱乐综艺,56,LR_CAT_56,,,娱乐综艺,1,audiobook,7,1,lrts
音乐调频,57,LR_CAT_57,,,音乐调频,1,audiobook,8,1,lrts
人文,80,LR_CAT_80,,,人文,1,audiobook,9,1,lrts
成功,79,LR_CAT_79,,,成功,1,audiobook,10,1,lrts
其他,104,LR_CAT_104,,,其他,1,audiobook,11,1,lrts
生活,1019,LR_CAT_1019,,,生活,1,audiobook,12,1,lrts
财经,3085,LR_CAT_3085,,,财经,1,audiobook,13,1,lrts
健康,3086,LR_CAT_3086,,,健康,1,audiobook,14,1,lrts
历史,9049,LR_CAT_9049,,,历史,1,audiobook,15,1,lrts
党政,9339,LR_CAT_9339,,,党政,1,audiobook,16,1,lrts
搞笑娱乐,54,LR_CAT_54,,,搞笑娱乐,1,audiobook,17,1,lrts
脱口秀,3088,LR_PCAT_3088,,,脱口秀,1,program,18,1,lrts
玄幻奇幻,11,LR_CAT_11,1,有声小说,玄幻奇幻,2,audiobook,19,1,lrts
历史幻想,12,LR_CAT_12,1,有声小说,历史幻想,2,audiobook,20,1,lrts
古代言情,10,LR_CAT_10,1,有声小说,古代言情,2,audiobook,21,1,lrts
都市传说,8,LR_CAT_8,1,有声小说,都市传说,2,audiobook,22,1,lrts
科幻空间,3021,LR_CAT_3021,1,有声小说,科幻空间,2,audiobook,23,1,lrts
穿越架空,3109,LR_CAT_3109,1,有声小说,穿越架空,2,audiobook,24,1,lrts
武侠仙侠,14,LR_CAT_14,1,有声小说,武侠仙侠,2,audiobook,25,1,lrts
青春校园,3106,LR_CAT_3106,1,有声小说,青春校园,2,audiobook,26,1,lrts
网游竞技,9042,LR_CAT_9042,1,有声小说,网游竞技,2,audiobook,27,1,lrts
现代言情,3020,LR_CAT_3020,1,有声小说,现代言情,2,audiobook,28,1,lrts
次元专区,9287,LR_CAT_9287,1,有声小说,次元专区,2,audiobook,29,1,lrts
连丽如,20,LR_CAT_20,3,相声评书,连丽如,2,audiobook,30,1,lrts
袁阔成,21,LR_CAT_21,3,相声评书,袁阔成,2,audiobook,31,1,lrts
单田芳,19,LR_CAT_19,3,相声评书,单田芳,2,audiobook,32,1,lrts
文化评书,48,LR_CAT_48,3,相声评书,文化评书,2,audiobook,33,1,lrts
相声小品,61,LR_CAT_61,3,相声评书,相声小品,2,audiobook,34,1,lrts
短打评书,74,LR_CAT_74,3,相声评书,短打评书,2,audiobook,35,1,lrts
鬼狐评书,3047,LR_CAT_3047,3,相声评书,鬼狐评书,2,audiobook,36,1,lrts
历史评书,3083,LR_CAT_3083,3,相声评书,历史评书,2,audiobook,37,1,lrts
刘兰芳,5247,LR_CAT_5247,3,相声评书,刘兰芳,2,audiobook,38,1,lrts
公案评书,5250,LR_CAT_5250,3,相声评书,公案评书,2,audiobook,39,1,lrts
新评书,9550,LR_CAT_9550,3,相声评书,新评书,2,audiobook,40,1,lrts
儿歌童谣,59,LR_CAT_59,6,幼儿教育,儿歌童谣,2,audiobook,41,1,lrts
益智故事,63,LR_CAT_63,6,幼儿教育,益智故事,2,audiobook,42,1,lrts
少儿科普,64,LR_CAT_64,6,幼儿教育,少儿科普,2,audiobook,43,1,lrts
家教育儿,65,LR_CAT_65,6,幼儿教育,家教育儿,2,audiobook,44,1,lrts
少儿英语,68,LR_CAT_68,6,幼儿教育,少儿英语,2,audiobook,45,1,lrts
儿童文学,3027,LR_CAT_3027,6,幼儿教育,儿童文学,2,audiobook,46,1,lrts
英语启蒙,5248,LR_CAT_5248,6,幼儿教育,英语启蒙,2,audiobook,47,1,lrts
卡通动画,9029,LR_CAT_9029,6,幼儿教育,卡通动画,2,audiobook,48,1,lrts
国学启蒙,9031,LR_CAT_9031,6,幼儿教育,国学启蒙,2,audiobook,49,1,lrts
少儿名著,9245,LR_CAT_9245,6,幼儿教育,少儿名著,2,audiobook,50,1,lrts
绘本早教,9246,LR_CAT_9246,6,幼儿教育,绘本早教,2,audiobook,51,1,lrts
少儿历史,9247,LR_CAT_9247,6,幼儿教育,少儿历史,2,audiobook,52,1,lrts
通识教育,9248,LR_CAT_9248,6,幼儿教育,通识教育,2,audiobook,53,1,lrts
教辅教材,9249,LR_CAT_9249,6,幼儿教育,教辅教材,2,audiobook,54,1,lrts
都市传说,,LR_CAT_0055,,,都市传说,2,audiobook,55,1,lrts
悬疑推理,,LR_CAT_0056,,,悬疑推理,2,audiobook,56,1,lrts
单田芳,,LR_CAT_0057,,,单田芳,2,audiobook,57,1,lrts
玄幻奇幻,,LR_CAT_0058,,,玄幻奇幻,2,audiobook,58,1,lrts
穿越架空,,LR_CAT_0059,,,穿越架空,2,audiobook,59,1,lrts
武侠仙侠,,LR_CAT_0060,,,武侠仙侠,2,audiobook,60,1,lrts
