source_tag_name,tag_code,parent_tag_code,tag_name,tag_type,sort_no,yn,source
题材,LR_TAG_GROUP_GENRE,,题材,genre,1,1,system
风格,LR_TAG_GROUP_STYLE,,风格,style,2,1,system
专题主题,LR_TAG_GROUP_TOPIC,,专题主题,topic,3,1,system
有声小说,LR_TAG_GENRE_有声小说,LR_TAG_GROUP_GENRE,有声小说,genre,4,1,lrts
相声评书,LR_TAG_GENRE_相声评书,LR_TAG_GROUP_GENRE,相声评书,genre,5,1,lrts
戏曲曲艺,LR_TAG_GENRE_戏曲曲艺,LR_TAG_GROUP_GENRE,戏曲曲艺,genre,6,1,lrts
文学,LR_TAG_GENRE_文学,LR_TAG_GROUP_GENRE,文学,genre,7,1,lrts
幼儿教育,LR_TAG_GENRE_幼儿教育,LR_TAG_GROUP_GENRE,幼儿教育,genre,8,1,lrts
红色足迹,LR_TAG_GENRE_红色足迹,LR_TAG_GROUP_GENRE,红色足迹,genre,9,1,lrts
娱乐综艺,LR_TAG_GENRE_娱乐综艺,LR_TAG_GROUP_GENRE,娱乐综艺,genre,10,1,lrts
音乐调频,LR_TAG_GENRE_音乐调频,LR_TAG_GROUP_GENRE,音乐调频,genre,11,1,lrts
人文,LR_TAG_GENRE_人文,LR_TAG_GROUP_GENRE,人文,genre,12,1,lrts
成功,LR_TAG_GENRE_成功,LR_TAG_GROUP_GENRE,成功,genre,13,1,lrts
其他,LR_TAG_GENRE_其他,LR_TAG_GROUP_GENRE,其他,genre,14,1,lrts
生活,LR_TAG_GENRE_生活,LR_TAG_GROUP_GENRE,生活,genre,15,1,lrts
财经,LR_TAG_GENRE_财经,LR_TAG_GROUP_GENRE,财经,genre,16,1,lrts
健康,LR_TAG_GENRE_健康,LR_TAG_GROUP_GENRE,健康,genre,17,1,lrts
历史,LR_TAG_GENRE_历史,LR_TAG_GROUP_GENRE,历史,genre,18,1,lrts
党政,LR_TAG_GENRE_党政,LR_TAG_GROUP_GENRE,党政,genre,19,1,lrts
搞笑娱乐,LR_TAG_GENRE_搞笑娱乐,LR_TAG_GROUP_GENRE,搞笑娱乐,genre,20,1,lrts
脱口秀,LR_TAG_GENRE_脱口秀,LR_TAG_GROUP_GENRE,脱口秀,genre,21,1,lrts
玄幻奇幻,LR_TAG_GENRE_玄幻奇幻,LR_TAG_GROUP_GENRE,玄幻奇幻,genre,22,1,lrts
历史幻想,LR_TAG_GENRE_历史幻想,LR_TAG_GROUP_GENRE,历史幻想,genre,23,1,lrts
古代言情,LR_TAG_GENRE_古代言情,LR_TAG_GROUP_GENRE,古代言情,genre,24,1,lrts
都市传说,LR_TAG_GENRE_都市传说,LR_TAG_GROUP_GENRE,都市传说,genre,25,1,lrts
科幻空间,LR_TAG_GENRE_科幻空间,LR_TAG_GROUP_GENRE,科幻空间,genre,26,1,lrts
穿越架空,LR_TAG_GENRE_穿越架空,LR_TAG_GROUP_GENRE,穿越架空,genre,27,1,lrts
武侠仙侠,LR_TAG_GENRE_武侠仙侠,LR_TAG_GROUP_GENRE,武侠仙侠,genre,28,1,lrts
青春校园,LR_TAG_GENRE_青春校园,LR_TAG_GROUP_GENRE,青春校园,genre,29,1,lrts
网游竞技,LR_TAG_GENRE_网游竞技,LR_TAG_GROUP_GENRE,网游竞技,genre,30,1,lrts
现代言情,LR_TAG_GENRE_现代言情,LR_TAG_GROUP_GENRE,现代言情,genre,31,1,lrts
次元专区,LR_TAG_GENRE_次元专区,LR_TAG_GROUP_GENRE,次元专区,genre,32,1,lrts
连丽如,LR_TAG_GENRE_连丽如,LR_TAG_GROUP_GENRE,连丽如,genre,33,1,lrts
袁阔成,LR_TAG_GENRE_袁阔成,LR_TAG_GROUP_GENRE,袁阔成,genre,34,1,lrts
单田芳,LR_TAG_GENRE_单田芳,LR_TAG_GROUP_GENRE,单田芳,genre,35,1,lrts
文化评书,LR_TAG_GENRE_文化评书,LR_TAG_GROUP_GENRE,文化评书,genre,36,1,lrts
相声小品,LR_TAG_GENRE_相声小品,LR_TAG_GROUP_GENRE,相声小品,genre,37,1,lrts
短打评书,LR_TAG_GENRE_短打评书,LR_TAG_GROUP_GENRE,短打评书,genre,38,1,lrts
鬼狐评书,LR_TAG_GENRE_鬼狐评书,LR_TAG_GROUP_GENRE,鬼狐评书,genre,39,1,lrts
历史评书,LR_TAG_GENRE_历史评书,LR_TAG_GROUP_GENRE,历史评书,genre,40,1,lrts
刘兰芳,LR_TAG_GENRE_刘兰芳,LR_TAG_GROUP_GENRE,刘兰芳,genre,41,1,lrts
公案评书,LR_TAG_GENRE_公案评书,LR_TAG_GROUP_GENRE,公案评书,genre,42,1,lrts
新评书,LR_TAG_GENRE_新评书,LR_TAG_GROUP_GENRE,新评书,genre,43,1,lrts
儿歌童谣,LR_TAG_GENRE_儿歌童谣,LR_TAG_GROUP_GENRE,儿歌童谣,genre,44,1,lrts
益智故事,LR_TAG_GENRE_益智故事,LR_TAG_GROUP_GENRE,益智故事,genre,45,1,lrts
少儿科普,LR_TAG_GENRE_少儿科普,LR_TAG_GROUP_GENRE,少儿科普,genre,46,1,lrts
家教育儿,LR_TAG_GENRE_家教育儿,LR_TAG_GROUP_GENRE,家教育儿,genre,47,1,lrts
少儿英语,LR_TAG_GENRE_少儿英语,LR_TAG_GROUP_GENRE,少儿英语,genre,48,1,lrts
儿童文学,LR_TAG_GENRE_儿童文学,LR_TAG_GROUP_GENRE,儿童文学,genre,49,1,lrts
英语启蒙,LR_TAG_GENRE_英语启蒙,LR_TAG_GROUP_GENRE,英语启蒙,genre,50,1,lrts
卡通动画,LR_TAG_GENRE_卡通动画,LR_TAG_GROUP_GENRE,卡通动画,genre,51,1,lrts
国学启蒙,LR_TAG_GENRE_国学启蒙,LR_TAG_GROUP_GENRE,国学启蒙,genre,52,1,lrts
少儿名著,LR_TAG_GENRE_少儿名著,LR_TAG_GROUP_GENRE,少儿名著,genre,53,1,lrts
绘本早教,LR_TAG_GENRE_绘本早教,LR_TAG_GROUP_GENRE,绘本早教,genre,54,1,lrts
少儿历史,LR_TAG_GENRE_少儿历史,LR_TAG_GROUP_GENRE,少儿历史,genre,55,1,lrts
通识教育,LR_TAG_GENRE_通识教育,LR_TAG_GROUP_GENRE,通识教育,genre,56,1,lrts
教辅教材,LR_TAG_GENRE_教辅教材,LR_TAG_GROUP_GENRE,教辅教材,genre,57,1,lrts
悬疑推理,LR_TAG_GENRE_悬疑推理,LR_TAG_GROUP_GENRE,悬疑推理,genre,58,1,lrts
助眠,LR_TAG_GENRE_助眠,LR_TAG_GROUP_GENRE,助眠,genre,59,1,lrts
情感,LR_TAG_GENRE_情感,LR_TAG_GROUP_GENRE,情感,genre,60,1,lrts
娱乐,LR_TAG_GENRE_娱乐,LR_TAG_GROUP_GENRE,娱乐,genre,61,1,lrts
健康生活,LR_TAG_GENRE_健康生活,LR_TAG_GROUP_GENRE,健康生活,genre,62,1,lrts
名著解读,LR_TAG_GENRE_名著解读,LR_TAG_GROUP_GENRE,名著解读,genre,63,1,lrts
有声读物,LR_TAG_GENRE_有声读物,LR_TAG_GROUP_GENRE,有声读物,genre,64,1,lrts
人文历史,LR_TAG_GENRE_人文历史,LR_TAG_GROUP_GENRE,人文历史,genre,65,1,lrts
故事,LR_TAG_GENRE_故事,LR_TAG_GROUP_GENRE,故事,genre,66,1,lrts
音乐,LR_TAG_GENRE_音乐,LR_TAG_GROUP_GENRE,音乐,genre,67,1,lrts
头条,LR_TAG_GENRE_头条,LR_TAG_GROUP_GENRE,头条,genre,68,1,lrts
亲子,LR_TAG_GENRE_亲子,LR_TAG_GROUP_GENRE,亲子,genre,69,1,lrts
乡村生活,LR_TAG_GENRE_乡村生活,LR_TAG_GROUP_GENRE,乡村生活,genre,70,1,lrts
官场商战,LR_TAG_GENRE_官场商战,LR_TAG_GROUP_GENRE,官场商战,genre,71,1,lrts
人物传记,LR_TAG_GENRE_人物传记,LR_TAG_GROUP_GENRE,人物传记,genre,72,1,lrts
热血军事,LR_TAG_GENRE_热血军事,LR_TAG_GROUP_GENRE,热血军事,genre,73,1,lrts
