source_album_type,source_album_id,source_track_id,track_no,track_title,pay_type,last_update,duration_seconds,file_size_bytes,play_count,source_url
book,28893944,28893944_1,1,第1集 重生【新书上架，求订阅，求关注，求评论，听友福利VX：xiaoxiao012421】,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_2,2,第2集 收起助人情节，尊重他人命运.【重回1982小渔村原班人马演绎，欢迎来磕】,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_3,3,第3集 小龙改性子了？,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_4,4,第4集 叔，我想吃肉,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_5,5,第5集 走，抓老雀去,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_6,6,第6集 简陋牌烧烤老雀,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_7,7,第7集 感觉长大了，懂事了,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_8,8,第8集 捉到哌哌鸡,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_9,9,第9集 不要我，想要我的鸡？,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,28893944_10,10,第10集 说不定能捡点漏,free,2025-03-10,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010011,11,第11集 不愿意去尝试未知的东西,free,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010012,12,第12集 上一世还真对不起对方的真诚,free,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010013,13,第13集 砸冰也是需要技术的,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010014,14,第14集 没有什么比美美吃一顿更幸福的了,free,2026-02-02,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010015,15,第15集 知道往家里弄东西了,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010016,16,第16集 一顿饭收买一个人,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010017,17,第17集 李龙出息了,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010018,18,第18集 借马车也要出工钱,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010019,19,第19集 你说那个混子？,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010020,20,第20集 你想给谁给谁去吧,free,2026-01-31,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010021,21,第21集 败家子能出息吗？,paid,2026-04-10,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010022,22,第22集 等着看李龙的笑话,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010023,23,第23集 进山也要做准备,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010024,24,第24集 醉翁之意不在酒,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010025,25,第25集 冻死的能不能吃？,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010026,26,第26集 我给你好价钱,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010027,27,第27集 这小子出息了啊,paid,2026-02-02,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010028,28,第28集 还要借马车？,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010029,29,第29集 来买肉的晓霞,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,28893944,2889394400010030,30,第30集 吃肉干活有劲,paid,2026-01-30,,,,https://www.lrts.me/book/28893944
book,38490616,38490616_1,1,神秘复苏 第1章 诡异的帖子 (求关注评论来圈有惊喜),free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_2,2,神秘复苏 第2章 老人 (求关注评论来圈有惊喜),free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_3,3,神秘复苏 第3章 安全讲课（求关注评论来圈有惊喜）,free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_4,4,神秘复苏 第4章 诡异出现（求关注评论来圈有惊喜）,free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_5,5,神秘复苏 第5章 敲门声（求关注评论来圈有惊喜）,free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_6,6,神秘复苏 第6章 看出规律（阴阳鬼道已经完结，恐怖迷局）,free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_7,7,神秘复苏 第7章 无尽的楼梯（天下藏局连载中，鉴宝盗墓破局）,free,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_8,8,神秘复苏 第8章 鬼打墙（阴阳诡道已完结，恐怖迷局）,paid,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_9,9,神秘复苏 第9章 推进厕所（天下藏局连载中，鉴宝盗墓破局）,paid,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,38490616_10,10,神秘复苏 第10章 找到方法（欢迎来弹冠书圈说说你的感想）,paid,2023-11-17,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000111,11,神秘复苏 第11章 鬼域是什么（评论惊喜进群讨论精彩剧情）,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000112,12,神秘复苏 第12章 没电了,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000113,13,神秘复苏 第13章 巧遇周正,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000114,14,神秘复苏 第14章 鬼婴复苏,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000115,15,神秘复苏 第15章 鬼眼睁开,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000116,16,神秘复苏 第16章 五只鬼眼,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000117,17,神秘复苏 第17章 终于脱险,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000118,18,神秘复苏 第18章 身处鬼域,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000119,19,神秘复苏 第19章 带你出去,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000120,20,神秘复苏 第20章 羊皮纸,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000121,21,神秘复苏 第21章 骗了你（求关注收藏，多多评论进群有惊喜哦）,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000122,22,神秘复苏 第22章 怎么出去,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000123,23,神秘复苏 第23章 那是陷阱,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000124,24,神秘复苏 第24章 鬼来了,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000125,25,神秘复苏 第25章 羊皮纸的指引,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000126,26,神秘复苏 第26章 我的鬼域,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000127,27,神秘复苏 第27章 活下来了,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000128,28,神秘复苏 第28章 缠着杨间,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000129,29,神秘复苏 第29章 接线员,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,38490616,3849061600000130,30,神秘复苏 第30章 队长,paid,2026-04-21,,,,https://www.lrts.me/book/38490616
book,40536306,40536306_1,1,童林传（上）0001,free,2024-07-09,,,,https://www.lrts.me/book/40536306
book,40536306,40536306_2,2,童林传（上）0002,free,2024-07-09,,,,https://www.lrts.me/book/40536306
book,40536306,40536306_3,3,童林传（上）0003,free,2024-07-09,,,,https://www.lrts.me/book/40536306
book,40536306,40536306_4,4,童林传（上）0004,free,2024-07-09,,,,https://www.lrts.me/book/40536306
