source_topic_id,topic_code,topic_title,topic_type,cover_url,summary,book_count,play_count_text,updated_at_text,source_url,source
9109,LR_TOPIC_000001,主播桑梓讲故事人气听单,editorial,https://bookpic.lrts.me/ag7keg4o9zuiloofj1wvdabmoeu32p0t_720x238.png,,4,0,02-02,https://www.lrts.me/topic/9109,lrts
9110,LR_TOPIC_000002,娴侃侃人气听单,editorial,https://bookpic.lrts.me/dm4vnphs3g2ywhesqvwr341zvqpqmc5u_720x238.png,,5,0,02-02,https://www.lrts.me/topic/9110,lrts
9112,LR_TOPIC_000003,周建龙本尊人气听单,editorial,https://bookpic.lrts.me/urhvmr9zav2hwrq6ku9w64boi1glwlpq_720x238.png,,5,0,02-02,https://www.lrts.me/topic/9112,lrts
9113,LR_TOPIC_000004,关彦之人气听单,editorial,https://bookpic.lrts.me/i2en1nril2w8q9myxycs0unlf4x0yyu7_720x238.png,,5,0,02-02,https://www.lrts.me/topic/9113,lrts
9100,LR_TOPIC_000005,谦儿人气听单,editorial,https://bookpic.lrts.me/710da9c2b020427388b11aa5db1ecae2_720x238.png,代表作：《屌丝道士》系列 “炸天帮”在此集结，谦儿带你爆笑不停！,5,0,02-02,https://www.lrts.me/topic/9100,lrts
9101,LR_TOPIC_000006,冠冠人气听单,editorial,https://bookpic.lrts.me/b6fe069fbb12446690baab8fb04639b1_720x238.png,代表作：《神秘复苏》 加油推多期连冠，听冠冠带你驭声破局！,6,0,02-02,https://www.lrts.me/topic/9101,lrts
9111,LR_TOPIC_000007,無心方丈人气听单,editorial,https://bookpic.lrts.me/k7vtfr7qtvw4o4rdhuyr58hctqd7khmv_720x238.png,,5,0,02-02,https://www.lrts.me/topic/9111,lrts
9099,LR_TOPIC_000008,曲中人有故事人气听单,editorial,https://bookpic.lrts.me/b5bb6cfba6e54348badb8b0c564cdeb6_720x238.png,代表作《仙逆》 全平台累计播放超20亿，“玄幻+”赛道爆款孵化器！,5,0,02-02,https://www.lrts.me/topic/9099,lrts
9108,LR_TOPIC_000009,袏佑（于申威）人气听单,editorial,https://bookpic.lrts.me/131fdbdc5ad942eca17db7e1356094e9_720x238.png,,5,0,02-02,https://www.lrts.me/topic/9108,lrts
9117,LR_TOPIC_000010,,editorial,,,,0,,https://www.lrts.me/topic/9117,lrts
9116,LR_TOPIC_000011,,editorial,,,,0,,https://www.lrts.me/topic/9116,lrts
9115,LR_TOPIC_000012,春节季—新书热播,editorial,https://bookpic.lrts.me/x26tbb9171t5u8j43a5mrw44h6fx4uvn_720x238.jpeg,,2,0,02-02,https://www.lrts.me/topic/9115,lrts
5021,LR_TOPIC_000013,国漫崛起,editorial,https://bookpic.lrts.me/7d0df98fbaa34337b8b7030422eb12c5_720x238.jpeg,近些年国产动画的发展，到了一个空前的时期。从《魁拔》《魔道祖师》到《哪吒之魔童降世》，国漫不是崛起，而是王者归来。,16,0,12-11,https://www.lrts.me/topic/5021,lrts
