topic_code,source_topic_id,source_type,source_id,title,sort_no,source
LR_TOPIC_000001,9109,book,79248909,吞噬星空||玄幻科幻|我爱吃西红柿|末日文|动漫IP,1,lrts
LR_TOPIC_000001,9109,book,60679733,坏蛋是怎样炼成的|合集|征服快感|王者法则|热血逆袭,2,lrts
LR_TOPIC_000001,9109,book,95771537,凡人修仙传之仙界篇|多人有声剧,3,lrts
LR_TOPIC_000001,9109,book,29592666,回到明朝当王爷|月关作品|历史类网文点击率第一|精品多人剧,4,lrts
LR_TOPIC_000002,9110,book,94948069,农家小福女|多人有声剧|大神种田文巅峰之作|家长里短|温馨搞笑,1,lrts
LR_TOPIC_000002,9110,book,18827903,摘仙令|搞笑大女主|无CP|停不下来的经典修仙文|精品多人有声剧,2,lrts
LR_TOPIC_000002,9110,book,52847052,六宫凤华|多人有声剧|重生穿越|全民疯批|绝无仅有的权谋大戏,3,lrts
LR_TOPIC_000002,9110,book,11785871,重生后，我成了奸臣黑月光|完本畅听|轻松搞笑|多人有声|偏方方,4,lrts
LR_TOPIC_000002,9110,book,81939125,第一娇|病娇皇子|女纨绔|权谋与甜宠|爆笑穿越|精品多人有声剧,5,lrts
LR_TOPIC_000003,9112,book,58300278,北派盗墓笔记|周建龙演播|全网霸榜|写实盗墓文| 灵异探险|作者云峰,1,lrts
LR_TOPIC_000003,9112,book,51080118,沙海|周建龙播|南派三叔著|盗墓笔记系列|吴邪,2,lrts
LR_TOPIC_000003,9112,book,50128375,诡神冢|周建龙监制|堪比盗墓笔记|悬疑灵异|精品多播有声剧,3,lrts
LR_TOPIC_000003,9112,book,51098455,灯海寻尸|周建龙播|盗墓笔记系列合集|南派三叔|藏海花|老九门,4,lrts
LR_TOPIC_000003,9112,book,27628050,天命出马仙|周建龙监制||精品多播有声剧|悬疑灵异,5,lrts
LR_TOPIC_000004,9113,book,19715468,风水有术|道术砸老天饭碗|多播剧|风水秘术玄学|悬疑灵异|道门绝秘,1,lrts
LR_TOPIC_000004,9113,book,43820101,凡人修仙传|关彦之多播精配版|精编版,2,lrts
LR_TOPIC_000004,9113,book,43913,全球高武|热播动漫原著|多人小说剧,3,lrts
LR_TOPIC_000004,9113,book,21630696,抗日之兵魂传说|关彦之|全新多播精品重置|破10亿神作,4,lrts
LR_TOPIC_000004,9113,book,68263930,轮回乐园|关彦之|全新重制|多播剧|起点霸榜|无限流神作,5,lrts
LR_TOPIC_000005,9100,book,40339281,最强反套路系统|又名最强装逼打脸系统| 谦儿2016演播,1,lrts
LR_TOPIC_000005,9100,book,83911573,屌丝道士第1部|又名废柴奇遇|谦儿2016演播|搞笑奇遇,2,lrts
LR_TOPIC_000005,9100,book,34059900,屌丝道士第2部|又名厄运起源|谦儿2016演播|搞笑奇遇,3,lrts
LR_TOPIC_000005,9100,book,36717293,最强的系统|谦儿2016演播|大神新丰作品,4,lrts
LR_TOPIC_000005,9100,book,83166317,屌丝道士第3部|命运轮回|谦儿2016演播|搞笑奇遇,5,lrts
LR_TOPIC_000006,9101,book,38490616,神秘复苏|冠冠演播|恐怖惊悚|火爆神作灵异悬疑|江湖物资|异能布局,1,lrts
LR_TOPIC_000006,9101,book,24265187,天倾之后|神秘复苏续|冠冠演播|佛前献花|大神作品,2,lrts
LR_TOPIC_000006,9101,book,70703484,造化之门|鹅是老五仙侠力作|异世大陆|穿越玄幻|奇幻修真,3,lrts
LR_TOPIC_000006,9101,book,79309094,天下藏局|听泉鉴宝题材|完结畅听|盗墓|江湖玄术|边水往事同题材,4,lrts
LR_TOPIC_000006,9101,book,53809203,怪谈游戏设计师|冠冠演播|多人有声剧|恐怖惊悚|悬疑推理|诡异怪谈,5,lrts
LR_TOPIC_000006,9101,book,80702417,鲁班书|冠冠主播|悬疑惊悚|恐怖灵异|民间风水,6,lrts
LR_TOPIC_000007,9111,book,98898424,东北出马仙第一部|抖音爆款|牛大宝同款|無心方丈|出马弟子破天道|民间恐怖灵异故事,1,lrts
LR_TOPIC_000007,9111,book,40334497,东北出马仙第四部|抖音爆款|無心方丈|三集必上瘾|灵异鬼故事|东北唠嗑,2,lrts
LR_TOPIC_000007,9111,book,43579000,北派盗墓笔记|無心方丈演播|爆笑逗比东北话版|悬疑盗墓|精品有声剧,3,lrts
