ranking_code,source_ranking_slug,source_period_slug,source_type,source_id,target_type,rank_no,title,image_url,author_name,narrator_name,summary,source_url,jump_url,source
LR_RANK_HOT_WEEK,hot,week,book,29513169,album,1,盗墓笔记|精品有声剧|全8部|南派三叔|冠声制作,https://bookpic.lrts.me/wrwIaDlEYw17mCz8YZtzSPUyN8jEDS4B-1-29513169.png,南派三叔,冠声文化,《吴邪私家笔记》影视原著，剧情对应《盗墓笔记》第1-2册：《盗墓笔记之七星鲁王宫》、《盗墓笔记之怒海潜沙》。 全明星阵容演播全新有声剧，沉浸式盗墓之旅，开启全新听,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/29513169,lrts
LR_RANK_HOT_WEEK,hot,week,book,94326793,album,2,道士不好惹|古井观传奇|全新重制多人版|风水玄学|骨头演播,https://bookpic.lrts.me/wf5zrq5UvwKVUQQ9Kxg3MjIFhQybM16R-1-94326793.png,困的睡不着,萌鹿剧场,晋忠和老板踏上终南山古井村的神秘之旅，陈三金因家族厄运寻求道观庇护。向缺发现陈家风水遭破坏，与厉鬼激战并成功驱除，却揭露更大阴谋。陈三金调查内鬼，向缺潜入湖底破解,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/94326793,lrts
LR_RANK_HOT_WEEK,hot,week,book,89162581,album,3,重回小渔村|赶海|年代文|都市重生爽文|种田|多人精品有声剧,https://bookpic.lrts.me/EcFmukjNjRK3qXWnHWIoRelY1nsugXDy-1-89162581.png,米饭的米,游美有声都市精品有声书,叶耀东只是睡不着觉，想着去甲板上吹吹风，尿个尿，没想到掉海里回到了1982年。 还是那个熟悉的小渔村，只是他已经不是年轻时候的他了。 混账了半辈子，这回他想好好来,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/89162581,lrts
LR_RANK_HOT_WEEK,hot,week,book,58300278,album,4,北派盗墓笔记|周建龙演播|全网霸榜|写实盗墓文| 灵异探险|作者云峰,https://bookpic.lrts.me/1dG1x8A9dfn6I4RlEDXSYHHbkpaXwAT2-1-58300278.png,云峰,周建龙本尊,我是一个东北山村的穷小子，二十世纪初，为了出人头地，我加入了一个北方派盗墓团伙。从南到北，江湖百态，三教九流，这么多年从少年混到了中年，酒量见长，岁月蹉跎，我曾接,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/58300278,lrts
LR_RANK_HOT_WEEK,hot,week,book,81778725,album,5,边军悍卒|已追平作者更新|千人多播|脑洞穿越,https://bookpic.lrts.me/NvMCN4qH0LCm6ulglfRtuu5EA7yCz2Nz-1-81778725.png,木有金箍,三里屯爽文剧场,大宗三年，冬。铁真族犯边，大宗王朝镇西军边城被困，战事吃紧。内有符王赵争，勾结黑巾盗起兵谋反，连下数城。大宗王朝顿时处在内忧外困，风雨飘摇之中。同年冬，林丰意外穿,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/81778725,lrts
LR_RANK_HOT_WEEK,hot,week,book,50128375,album,6,诡神冢|周建龙监制|堪比盗墓笔记|悬疑灵异|精品多播有声剧,https://bookpic.lrts.me/w9t0sMTzMWzoR6gn0gcPOUU8uma4j8Bn-1-50128375.png,焚天孔雀,周建龙本尊,神灵真的存在吗？他们现在又去了哪里？ 封神榜中的姜子牙到底是什么人？ 5000年前这片大地上，到底发生了什么？ 废柴流|杀手|热血|盗墓,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/50128375,lrts
LR_RANK_HOT_WEEK,hot,week,book,18664199,album,7,剑来|精品三播|动漫2剧情抢先听|对应第66集,https://bookpic.lrts.me/a1bb68c0f2e3496ca3f13d515f10eda2.png,佚名,TME有声剧场,收听指引： 动漫第二季的第8集，对应第96集：嫁衣女鬼 动漫第二季的第7集，对应第90集：天地有气 动漫第二季的第6集：对应第87集：阿良斩白玉京 动漫第2季剧情,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/18664199,lrts
LR_RANK_HOT_WEEK,hot,week,book,66559365,album,8,大魏疯王|大魏逍遥王|全网霸榜|爽文|无敌流,https://bookpic.lrts.me/ptZNchTas9JGciphpf2uAb0o3CnN0mQn-1-66559365.png,咸青柠,冠声文化,本书又名《大魏逍遥王》、《密谋造反二十年，别人却以为我是傻子》、《太子无能为力，求我帮帮太子妃》 凌宁魂穿异界，成为大魏国的六皇子。天下人皆知六皇子为人憨傻、疯疯,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/66559365,lrts
LR_RANK_HOT_WEEK,hot,week,book,60414795,album,9,无敌六皇子|百人多播剧|爆笑轻松|脑洞穿越|全网爆款,https://bookpic.lrts.me/z3mnlxMXxg0T1fIZlWUZx4p1KO6FJuZE-1-60414795.png,梁山老鬼,陪你悦读,云铮穿越成大乾王朝六皇子，只想安心搞军权当老六！军权在手，天下我有！ 文帝：老六，你那几哥哥越来不像话了，借父皇十万兵马收拾他们！ 太子：老弟，有话好好说，别带着,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/60414795,lrts
LR_RANK_HOT_WEEK,hot,week,book,49579121,album,10,捞尸人|刺儿多播剧|起点TOP1霸榜内容,https://bookpic.lrts.me/y7EFmQTLVaFi38Izi1cOdZejd2AxOrCA-1-49579121.png,纯洁滴小龙,刺儿,这是围绕捞尸人这一特殊职业展开的故事。主角叫李追远，在小山村长大，后来回到了外公家住，和外公一起生活，而他的外公就是一位捞尸人。 李追远就这样在农村的生活中慢慢长,https://www.lrts.me/rank/hot/week,https://www.lrts.me/book/49579121,lrts
